Регион,population,cash_income,child_mort,disabled,grp,poverty_%,Social_expenses_%,retail,poverty_deti_%,poverty_pens_%,poverty_trud_%,manufacturing,supply,unemployed,borned,drug,alco,blood_d,metabolic_d,all_disease,square_liv,cluster
Республика Дагестан,2832146.2916666665,26595.2,0.0001337856718085,1.244748730096643,220953.6,14.3,27.540000000000003,192674.6,39.89999999999999,6.525,53.55,14337.627270028212,6382.064243998858,0.0600604567993199,0.0170611771104527,0.0,0.0,2498.2,2116.9,80693.8,22.5,1
Республика Ингушетия,443265.4166666667,16238.8,0.0001188448223594,1.4616682818890487,134501.46000000002,29.96,27.6,49174.2,39.8,9.25,50.925,4223.8272904221685,2414.833742116216,0.1577835702273938,0.0200487748973865,0.0,0.0,4000.6,1162.5,60547.7,27.8,1
Кабардино-Балкарская Республика,869256.5,20888.4,6.842910773613843e-05,0.7873458524612701,190213.28,24.62,24.76,147437.4,35.325,10.975,53.725,38053.34332805677,10548.969865677944,0.0578425355461822,0.0136774839609029,0.0,0.0,1872.3,1015.7,44792.0,18.9,1
Карачаево-Черкесская Республика,460228.4583333333,18278.2,7.630874981389294e-05,1.3167873238318324,186941.8,23.26,22.160000000000004,81677.8,34.925000000000004,9.2,55.875,63704.12912297669,20431.60862225018,0.0604482393391036,0.0122343715792415,0.0,0.0,3222.6,1024.6,63347.1,18.3,1
Республика Северная Осетия — Алания,703707.3333333334,23332.2,7.0144854785297e-05,1.1042836463264558,234918.84000000003,14.080000000000002,22.86,160778.2,34.7,9.4,55.925,30168.987157759773,12952.983873037858,0.053800775132844,0.0136524831838827,0.0,0.0,3013.0,1130.8,72233.0,16.4,1
Чеченская Республика,1271048.8333333333,23454.8,0.0,1.4805695899698583,157075.56,19.92,28.48,115880.4,46.02499999999999,6.65,47.325,7499.459072105428,13110.448896448395,0.0752449453489395,0.0245599817965087,0.0,0.0,5470.3,844.9,52150.1,19.2,1
Ставропольский край,2770870.125,23031.0,7.703378169253902e-05,0.9083515778279214,280167.94,14.2,26.96,177896.6,39.1,4.475,56.4,103861.88451906569,27653.80370614532,0.0266342328116154,0.0115404688591014,0.0,0.0,2529.5,849.4,59172.3,19.0,3
Республика Башкортостан,4070248.9166666665,29220.0,7.025403400365621e-05,0.7516912509875778,403355.29999999993,12.1,19.94,215618.6,40.1,5.5,54.425,296898.6497278688,32716.93488310483,0.0255021258220755,0.0128068548286578,5.4,70.4,3358.7,1101.0,84448.9,17.4,3
Республика Марий Эл,703025.0,20024.0,5.593491661774648e-05,1.076710998897621,276769.80000000005,20.76,21.92,125955.4,35.425,4.95,59.65,225263.052748673,17356.190619609955,0.0,0.0122943385148395,2.2,85.0,3411.2,1349.1,93490.3,16.5,3
Республика Мордовия,841691.9583333334,19023.4,3.338255672200635e-05,0.9945265506130584,310187.84,18.02,19.48,115042.0,33.36666666666667,7.5,59.20000000000001,250402.20317864823,15649.320988027685,0.0,0.0089650868338336,8.2,78.6,3616.8,1117.6,65931.9,20.0,3
Республика Татарстан (Татарстан),3818847.625,34053.2,5.839045122370966e-05,0.8930209018224444,635710.66,7.040000000000001,12.5,228324.6,41.0,8.525,50.475,475885.16313181614,35883.80339990849,0.0186496050624696,0.0125574359755491,9.7,54.4,3078.7,1335.6,79394.9,16.2,2
Удмуртская Республика,1535058.0,24391.6,5.250892961655272e-05,0.8184926888755995,429598.23999999993,12.22,20.32,152320.6,42.975,6.275,50.775000000000006,238933.2271571926,26623.06415923271,0.0,0.0127780622129259,3.7,79.3,3406.0,937.2,99088.4,14.8,3
Чувашская Республика — Чувашия,1263311.5833333333,19075.4,3.542679280804221e-05,0.7455577566342007,258840.44,17.84,23.52,125712.2,32.9,5.699999999999999,61.425,166982.64434299123,20942.53524906357,0.0256310481334804,0.0119588352294042,1.9,91.6,3033.8,1884.2,93394.5,14.2,3
Пермский край,2692549.7916666665,29120.0,5.7878586446447424e-05,0.9153108357095532,513885.02,14.48,22.4,202117.0,40.525,5.175,54.275000000000006,409349.4094977685,47213.16193803869,0.0263987690106937,0.0127845404015892,10.4,136.9,3071.3,1460.0,94982.5,16.0,3
Кировская область,1374954.4166666667,22631.0,4.2658155488278425e-05,1.0805780046162743,276737.5399999999,15.02,24.52,151533.4,38.075,5.05,56.825,181374.071659528,31622.92690271743,0.0,0.0110634343186334,3.7,65.4,2979.3,1789.9,74475.5,14.9,3
Нижегородская область,3359866.875,31850.6,5.561296963897187e-05,1.0375454235817008,458225.12,9.64,21.880000000000003,225018.4,35.6,7.5,56.925,425294.9590210789,33125.372572776825,0.0,0.0105071739922878,10.6,65.1,4688.2,1346.6,91127.3,17.5,3
Оренбургская область,2058515.4166666667,23528.4,6.319038395608638e-05,1.1151167396730288,498018.04,14.279999999999998,26.18,155824.8,42.85,5.25,51.875,163394.52278993872,31982.52578901661,0.0,0.0126020783313235,4.7,105.4,4082.1,2118.9,79188.8,19.0,3
Пензенская область,1390365.0416666667,22176.6,4.116555161045474e-05,0.8329731511457676,316003.9,13.82,21.94,156378.8,37.3,9.5,53.25,166092.70685997955,16819.83071977242,0.0,0.0094751313859191,7.6,122.8,5132.0,1598.7,73083.1,16.9,3
Самарская область,3218552.458333333,28308.8,4.839045751818071e-05,0.7955936040035803,484881.08,12.94,22.26,202272.2,39.625,5.875,54.49999999999999,337986.44438630337,39886.69398691524,0.0,0.011022303260017,13.3,52.3,2774.3,1751.4,97537.6,16.9,3
